Nom,Code Postal,Ville,Activite principale
OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS ONISEP,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
ASSOCIATION CHAMPOLLION ,38000,GRENOBLE,Programmation informatique
GRENOBLOISE D INFORMATIQUE PERIPHERIQUE ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
ALOE INFORMATIQUE ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
MODIS FRANCE ,38000,GRENOBLE,Programmation informatique
SMILE ,38000,GRENOBLE,Programmation informatique
BUSINESS & DECISION INTERACTIVE EOLAS ,38000,GRENOBLE,Programmation informatique
BUSINESS & DECISION INTERACTIVE EOLAS ,38000,GRENOBLE,Programmation informatique
BUSINESS & DECISION INTERACTIVE EOLAS ,38000,GRENOBLE,Programmation informatique
BUSINESS & DECISION INTERACTIVE EOLAS ,38100,GRENOBLE,Programmation informatique
BUSINESS & DECISION INTERACTIVE EOLAS ,38100,GRENOBLE,Programmation informatique
INDEXPRESSE ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
ASS UNION ALPINE PRESTATIONS ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
DACTYL'ASSISTANCE ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
JB DEVELOPPEMENT ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
ASS RRESALP ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
ADAMAH ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
ALTECA ,38000,GRENOBLE,Programmation informatique
HYPEROBJECTS ,38000,GRENOBLE,Programmation informatique
BILENDI TECHNOLOGY ELMA,38100,GRENOBLE,Programmation informatique
NODULE MULTIMEDIA ,38000,GRENOBLE,Programmation informatique
CREAWE SERVICES ,38100,GRENOBLE,Programmation informatique
ALLIANCE INFORMATIQUE ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
VIRTUAVIA ,38000,GRENOBLE,Programmation informatique
DIFFUSION ACTIVE ,38000,GRENOBLE,Programmation informatique
SAJ ,38000,GRENOBLE,Programmation informatique
KIBATIC ,38100,GRENOBLE,Programmation informatique
ALTINEIGE ,38000,GRENOBLE,Programmation informatique
ECEDI ,38000,GRENOBLE,Programmation informatique
ID NOVA ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
ACKTIL ,38100,GRENOBLE,Programmation informatique
VIVAXE INTERACTIVE ,38000,GRENOBLE,Programmation informatique
ASSOCIATION LAPOUDRE ,38100,GRENOBLE,Programmation informatique
ENIGMATIC ,38100,GRENOBLE,Programmation informatique
FORCE COMMERCE ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
NANOSPRINT NANOSPRINT,38000,GRENOBLE,Programmation informatique
GRENOUILLE ,38100,GRENOBLE,Programmation informatique
WEBU ,38000,GRENOBLE,Programmation informatique
SILECS SILECS,38000,GRENOBLE,Programmation informatique
ECOMMERCE ,38100,GRENOBLE,Programmation informatique
A3CB ,38100,GRENOBLE,Programmation informatique
ACROMICRO ,38100,GRENOBLE,Programmation informatique
ART ART @T ,38000,GRENOBLE,Programmation informatique
ENERDATA ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
SIGNAL25 INFORMATIQUE SIGNAL 25,38000,GRENOBLE,Programmation informatique
GN MULTIMEDIA NT 38,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
MEZCALITO ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
GD OPEN BUSINESS SOLUTIONS ,38000,GRENOBLE,Programmation informatique
SILLAGE ,38100,GRENOBLE,Programmation informatique
NOOVEO ,38000,GRENOBLE,Programmation informatique
INTELLYSURF ,38000,GRENOBLE,Programmation informatique
SARL ELC ,38000,GRENOBLE,Programmation informatique
NETVISITE-HD ,38100,GRENOBLE,Programmation informatique
USHARESOFT ,38000,GRENOBLE,Programmation informatique
XILS AUDIO ,38100,GRENOBLE,Programmation informatique
COM&NET ,38100,GRENOBLE,Programmation informatique
EEN-ETONICO ,38100,GRENOBLE,Programmation informatique
MAX BUSINESS ,38100,GRENOBLE,Programmation informatique
PUZZLE-SYSTEM ,38000,GRENOBLE,Programmation informatique
OOKAPI ,38100,GRENOBLE,Programmation informatique
CALIENTE RAYMOND ,38100,GRENOBLE,Programmation informatique
FUTURE LEARNING STUDIO ,38000,GRENOBLE,Programmation informatique
VELOSSITY ,38000,GRENOBLE,Programmation informatique
LINK TO BUSINESS TECHNOLOGY ,38100,GRENOBLE,Programmation informatique
QUALTERA ,38000,GRENOBLE,Programmation informatique
MVP ,38000,GRENOBLE,Programmation informatique
G WEB CREATION ,38000,GRENOBLE,Programmation informatique
WIZBII ,38000,GRENOBLE,Programmation informatique
JS MEDIA PROD ,38000,GRENOBLE,Programmation informatique
JS MEDIA PROD ,38000,GRENOBLE,Programmation informatique
BASSETTI DIRECT ,38100,GRENOBLE,Programmation informatique
L2C2 ,38000,GRENOBLE,Programmation informatique
SHORTEDITION ,38000,GRENOBLE,Programmation informatique
VESTA-SYSTEM ,38000,GRENOBLE,Programmation informatique
HISTOIRES GEO ,38000,GRENOBLE,Programmation informatique
SLEEDE ,38000,GRENOBLE,Programmation informatique
LOGIXEN ,38100,GRENOBLE,Programmation informatique
Y'S SERVICES Y'S,38000,GRENOBLE,Programmation informatique
WEBIAPART ,38000,GRENOBLE,Programmation informatique
AKYLAS ,38000,GRENOBLE,Programmation informatique
VALADRI ,38000,GRENOBLE,Programmation informatique
IDRETIS ,38000,GRENOBLE,Programmation informatique
BUTTERFLYEFFECT ,38000,GRENOBLE,Programmation informatique
SQUARE CONNEXION ,38000,GRENOBLE,Programmation informatique
STIMERGY ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
SIXMARS DEVELOPPEMENT ,38000,GRENOBLE,Programmation informatique
REACTIV' IP ,38000,GRENOBLE,Programmation informatique
NEOVISION ,38000,GRENOBLE,Programmation informatique
DATAMINTE ,38000,GRENOBLE,Programmation informatique
LEAV SOLUTIONS ,38100,GRENOBLE,Programmation informatique
SYM2B SYM2B,38000,GRENOBLE,Programmation informatique
STUDIO CHAHUT ,38100,GRENOBLE,Programmation informatique
DATAMENTO ,38000,GRENOBLE,Programmation informatique
DECODE CONSULTING ,38000,GRENOBLE,Programmation informatique
ODYXA ,38000,GRENOBLE,Programmation informatique
POLYNODE ,38100,GRENOBLE,Programmation informatique
ALTAMENDI ,38000,GRENOBLE,Programmation informatique
PULSE ORIGIN ,38000,GRENOBLE,Programmation informatique
OPTALOG ,38100,GRENOBLE,Programmation informatique
KIFCORP ,38000,GRENOBLE,Programmation informatique
SAS SHARE CAURIS ,38000,GRENOBLE,Programmation informatique
COMMUNITY WEB ,38100,GRENOBLE,Programmation informatique
ACTIMEA ,38100,GRENOBLE,Programmation informatique
INVENTHYS ,38000,GRENOBLE,Programmation informatique
P.M.VIAL ,38100,GRENOBLE,Programmation informatique
UPMEM ,38000,GRENOBLE,Programmation informatique
LES PAPAS DU CODE ,38100,GRENOBLE,Programmation informatique
OZIRIS ,38000,GRENOBLE,Programmation informatique
PHARMANITY ,38000,GRENOBLE,Programmation informatique
SINAO ,38100,GRENOBLE,Programmation informatique
ELQUI ,38000,GRENOBLE,Programmation informatique
CENTREPRISE ,38000,GRENOBLE,Programmation informatique
LEESI MARKETING ,38100,GRENOBLE,Programmation informatique
RESPAWNSIVE ,38100,GRENOBLE,Programmation informatique
CORNER CASE ,38000,GRENOBLE,Programmation informatique
WISE-OP ,38000,GRENOBLE,Programmation informatique
ABHAYA ,38000,GRENOBLE,Programmation informatique
BAON ,38000,GRENOBLE,Programmation informatique
VORTAK ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
BEELSE ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
MELILOG MLG,38100,GRENOBLE,Programmation informatique
ADOOVIZ ,38000,GRENOBLE,Programmation informatique
1001AUDIOS ,38100,GRENOBLE,Programmation informatique
LUNACODE ,38000,GRENOBLE,Programmation informatique
PROSPECTIVA ,38100,GRENOBLE,Programmation informatique
88-IT.COM ,38000,GRENOBLE,Programmation informatique
BAG-ERA ,38000,GRENOBLE,Programmation informatique
SQUARESCALE ,38000,GRENOBLE,Programmation informatique
IZIMAKERS ,38000,GRENOBLE,Programmation informatique
OWNWEB ,38100,GRENOBLE,Programmation informatique
VEDALIS GROUPE BASSETTI ,38100,GRENOBLE,Programmation informatique
BASSETTI DATA PROVIDER ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
EDIWEB & COM' ,38100,GRENOBLE,Programmation informatique
BRUYERE CONSULTING ,38100,GRENOBLE,Programmation informatique
COPROSPHERE ,38000,GRENOBLE,Programmation informatique
COOT SOLUTIONS SAS ,38000,GRENOBLE,Programmation informatique
LIMONIE ,38000,GRENOBLE,Programmation informatique
E-LOA LEARNING ,38000,GRENOBLE,Programmation informatique
INCEPTIVE ,38000,GRENOBLE,Programmation informatique
VEERTUS ,38100,GRENOBLE,Programmation informatique
WEEBIT NANO FRANCE ,38000,GRENOBLE,Programmation informatique
WE ADVOCACY ,38000,GRENOBLE,Programmation informatique
IDAMN ,38100,GRENOBLE,Programmation informatique
JNJO ,38100,GRENOBLE,Programmation informatique
RANDOMLAB SAS ,38100,GRENOBLE,Programmation informatique
M57 ,38100,GRENOBLE,Programmation informatique
LINKYVET ,38000,GRENOBLE,Programmation informatique
MOTRHYS ,38000,GRENOBLE,Programmation informatique
AMIRAL TECHNOLOGIES ,38000,GRENOBLE,Programmation informatique
AGENCE TINTAMARRE ,38000,GRENOBLE,Programmation informatique
ONEANGSTROM ,38000,GRENOBLE,Programmation informatique
WELPCAR ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
YONET ,38000,GRENOBLE,Programmation informatique
INDLU ,38100,GRENOBLE,Programmation informatique
MOBITEACH ,38100,GRENOBLE,Programmation informatique
ANS INNOVATION ,38100,GRENOBLE,Programmation informatique
LOKKI ,38000,GRENOBLE,Programmation informatique
CODEXTECH CDT,38100,GRENOBLE,Programmation informatique
BILL-IDEA ,38000,GRENOBLE,Programmation informatique
COMOTIC ,38100,GRENOBLE,Programmation informatique
ARIAZ ,38100,GRENOBLE,Programmation informatique
CHEZ TON OSTEO ,38100,GRENOBLE,Programmation informatique
EFEMARY ,38000,GRENOBLE,Programmation informatique
LINKEYS FRANCE ,38100,GRENOBLE,Programmation informatique
ANIAH ,38000,GRENOBLE,Programmation informatique
MAI ,38000,GRENOBLE,Programmation informatique
AMG CONNECT ,38000,GRENOBLE,Programmation informatique
WORMSENSING ,38000,GRENOBLE,Programmation informatique
PIN & PLAN ,38100,GRENOBLE,Programmation informatique
ALTERIA ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
EDEN SHARK ES,38100,GRENOBLE,Programmation informatique
TWINSIGHT ,38000,GRENOBLE,Programmation informatique
KENTYOU ,38000,GRENOBLE,Programmation informatique
TWIN ROBOTICS ,38100,GRENOBLE,Programmation informatique
DEXYOS ,38000,GRENOBLE,Programmation informatique
WEBSTEEM ,38000,GRENOBLE,Programmation informatique
MAIPLUG ,38000,GRENOBLE,Programmation informatique
CMG MIND ,38100,GRENOBLE,Programmation informatique
ANYA TECHNOLOGIES SAS ,38000,GRENOBLE,Programmation informatique
3 WORLD VISION CONCEPT ,38100,GRENOBLE,Programmation informatique
SENSEA FR ,38100,GRENOBLE,Programmation informatique
LUDOCEO ,38000,GRENOBLE,Programmation informatique
NIDYANET ,38100,GRENOBLE,Programmation informatique
HELIOCITY ,38000,GRENOBLE,Programmation informatique
CARETOCARE ,38000,GRENOBLE,Programmation informatique
MUSTANG AENGIE ,38000,GRENOBLE,Programmation informatique
